file,title,old_domains,old_primary,old_secondary,new_primary,new_secondary,override_reason,cross_tags
you-ai-search-api.md,"""You AI Search API""","AI, API",AI,API,AI,API,,
you-com.md,"""You AI Search API""","AI, 开发平台",AI,开发平台,AI,开发平台,,
youtube-com.md,"""YouTube""","社区, 社交平台",社区,社交平台,内容平台,社交平台,,
youtube.md,"""YouTube""","媒体, 社交平台",媒体,社交平台,内容平台,社交平台,,
ysjf-com.md,"""影视飓风""","设计, 视频素材",设计,视频素材,设计,设计素材,,
yuanqi-tencent-com.md,"""腾讯元器""","AI, Agent",AI,Agent,AI,Agent,,
yueai-ai.md,"""YuE AI 演示 - 创作歌曲""","AI, 语音",AI,语音,AI,语音,,
z.ai---free-ai-chatbot-&-agent-powered-b.md,"""Z.ai - Free AI Chatbot & Agent powered by GLM-5.1 & GLM-5""","AI, Agent",AI,Agent,AI,Agent,,
zaodian-quark-cn.md,"""夸克 · 造点""","AI, 图像生成",AI,图像生成,AI,图像生成,,
zapier.md,"""Zapier""","工具, 自动化",工具,自动化,开发工具,自动化工具,,
zara-faces-site.md,"""Zara 的 AI 学习库""","AI, 图像生成",AI,图像生成,AI,图像生成,,
zazzle-com.md,"""Zazzle""","电商, 跨境电商",电商,跨境电商,电商,跨境电商,,
zcool-com-cn.md,"""站酷ZCOOL""","设计, 设计灵感",设计,设计灵感,设计,设计灵感,,
zhihu-com.md,"""知乎""","社区, 内容平台",社区,内容平台,内容平台,内容平台,,
zhipin-com.md,"""BOSS直聘""","工具, 招聘网站",工具,招聘网站,商业,招聘,用户裁决:招聘网站,开发工具
zhongguose-com.md,"""中国色官网""","设计, 色彩工具",设计,色彩工具,设计,设计工具,,
zhuanlan-zhihu-com.md,"""知乎_写文章""","媒体, 内容平台",媒体,内容平台,内容平台,内容平台,,
zhuxiaobang-com.md,"""住小帮""","室内设计, 家居生活, 工具",室内设计|家居生活|工具,,设计,未细分,,开发工具
ziyouziti-com.md,"""免费字体网_自由字体官网""","设计, 字体素材",设计,字体素材,设计,设计素材,,
znzmo-com.md,"""知末""","建筑, 设计, 室内设计",建筑|设计|室内设计,,设计,未细分,,
zsxq-com.md,"""知识星球""","产品, 创作者变现",产品,创作者变现,商业,变现,,
zto-com.md,"""我的快递 - 中通快递""","工具, 招聘网站",工具,招聘网站,商业,招聘,用户裁决:招聘网站,开发工具
zwefxzb7el-feishu-cn.md,"""ClipcatSkill - 让 OpenClaw 创作Tiktok爆款短视频""","AI, 视频生成",AI,视频生成,AI,视频生成,,
[0%]-node.md,"""[0%] Node""","AI, 图像生成",AI,图像生成,AI,图像生成,,
‌-​⁣⁤⁡‬⁡⁤⁣-‍⁡​​​-⁡⁣‍‌⁢​⁡⁢‌⁣⁢⁤​⁣‍​‬⁣‬-⁤‍‌.md,"""OpenClaw x 飞书官方修炼指南""","AI, 学习资源",AI,学习资源,AI,学习资源,,
‌⁤​-⁤‬-⁤​⁤⁡​‌⁣⁢‬⁤⁢‍‌⁣-‌​⁢​⁤‍⁢-‍-​​‍‍⁢​⁡‬.md,"""2026 飞书新品见面会演讲精华（公开版）""","AI, 学习资源",AI,学习资源,AI,学习资源,,
‍‍​⁤‌-‍​⁤‍​⁤‍⁢⁡‌‌‍⁢⁣​​-⁡⁢​‬‍‌⁣‬​‌-⁣⁡⁣‌​⁣.md,"""ClipcatSkill - 让 OpenClaw 创作Tiktok爆款短视频""","AI, 视频生成",AI,视频生成,AI,视频生成,,
‍⁣​​⁡‌​​-⁣⁣​⁢⁤‬⁤​-⁡⁤-⁣⁤‍​‍⁢​‍⁤‬​⁤‬⁤‌⁤-‌‬.md,"""OpenClaw 飞书官方插件使用指南（公开版）""","学习, 文档手册",学习,文档手册,知识库,文档手册,,
⁡⁤⁣​⁢‌⁢​⁢​⁤‌‬​-​-⁣⁡‌⁢‌-‌⁡-⁤⁡⁡-⁤​​‍⁡​​​⁤.md,"""第四篇：技能组合—给你的龙虾装上最强“手脚” 🦞""","AI, Agent",AI,Agent,AI,Agent,,
人物思维顾问-·-女娲蒸馏目录.md,"""人物思维顾问 · 女娲蒸馏目录""","写作, 文档手册",写作,文档手册,知识库,文档手册,,
保罗·格雷厄姆.md,"""保罗·格雷厄姆""","写作, 博客",写作,博客,知识库,社交平台,,
公众号.md,"""公众号""","AI, 工具, 媒体, 开发",AI|工具|媒体|开发,,AI,未细分,,开发工具|内容平台
千问-qwen.md,"""千问-Qwen""","AI, LLM",AI,LLM,AI,LLM,,
即梦ai.md,"""即梦AI""","AI, 图像生成",AI,图像生成,AI,图像生成,,
可灵-ai.md,"""可灵 AI""","AI, 视频生成",AI,视频生成,AI,视频生成,,
哔哩哔哩开放平台.md,"""哔哩哔哩开放平台""","媒体, 创作者平台",媒体,创作者平台,内容平台,创作者平台,,
夸克-·-造点.md,"""夸克 · 造点""","AI, Agent",AI,Agent,AI,Agent,,
小云雀.md,"""小云雀""","学习, 教程课程",学习,教程课程,知识库,教程课程,,
开发者文档.md,"""开发者文档""","学习, 文档手册",学习,文档手册,知识库,文档手册,,
影刀ai-power.md,"""影刀AI Power""","AI, Agent",AI,Agent,AI,Agent,,
我的淘宝.md,"""我的淘宝""","电商, 国内电商",电商,国内电商,电商,国内电商,,
扣子.md,"""扣子""","AI, Agent",AI,Agent,AI,Agent,,
扣子编程.md,"""扣子编程""","AI, Agent",AI,Agent,AI,Agent,,
抖音开放平台.md,"""抖音开放平台""","开发, 开发平台",开发,开发平台,开发工具,开发平台,,
拍我ai---pixverse国内正版，热门ai特效.md,"""拍我AI - PixVerse国内正版，热门AI特效""","AI, 视频生成",AI,视频生成,AI,视频生成,,
智谱ai开放平台.md,"""智谱AI开放平台""","AI, LLM",AI,LLM,AI,LLM,,
火山引擎_api界面.md,"""火山引擎_API界面""","AI, API",AI,API,AI,API,,
百度.md,"""百度""","AI, 通用搜索",AI,通用搜索,AI,通用搜索,,
硅基流动.md,"""硅基流动""","AI, API",AI,API,AI,API,,
美图工作室_ai电商listing图片生成器.md,"""美图工作室_AI电商Listing图片生成器""","设计, 电商工具",设计,电商工具,设计,电商服务,,
花生ai-超好用的一站式剪辑工具.md,"""花生AI""","AI, 视频生成",AI,视频生成,AI,视频生成,,
葫芦ai.md,"""葫芦AI""","AI, LLM",AI,LLM,AI,LLM,,
豆包.md,"""豆包""","AI, LLM",AI,LLM,AI,LLM,,
豆包语音_语音合成与识别_火山引擎.md,"""豆包语音_语音合成与识别_火山引擎""","AI, 语音",AI,语音,AI,语音,,
飞书-开发者后台.md,"""飞书 开发者后台""","开发, 开发平台",开发,开发平台,开发工具,开发平台,,
